"men_0-15","men_16-62","women_0-15","women_59+","region","women_16-58","men_63+"
"348170","596696","329639","146424","Алматинская","563273","71522"
"95645","274637","90687","101469","Костанайская","263852","42259"
"410683","563016","389034","99357","Туркестанская","505265","48682"
"117009","185671","110562","38179","Атырауская","178357","15502"
"145934","235547","137123","46138","Кызылординская","217055","21734"
"171623","414338","161786","159959","Восточно-Казахстанская","393984","67907"
"96079","229926","90848","76006","Акмолинская","212232","31644"
"138610","262098","129864","64123","Актюбинская","260086","26870"
"94640","200026","87946","60078","Западно-Казахстанская","190000","24154"
"133912","198664","125265","34851","Мангистауская","190453","15651"
"180670","338634","171255","64143","город Нур-Султан","355620","25834"
"205582","317301","194302","77167","Жамбылская","301458","34289"
"93650","229867","88366","82579","Павлодарская","224901","32806"
"240226","573619","223279","161473","город Алматы","652395","65830"
"2901294","5497037","2735467","1484559","Республика Казахстан","5377619","635803"
"177781","418075","169225","145923","Карагандинская","407745","58133"
"62669","170465","58877","71333","Северо-Казахстанская","155996","29415"
"188411","288457","177409","55357","город Шымкент","304947","23571"

