region,sex,age,value
Алматинская,men,0-15,348170
Алматинская,men,16-62,596696
Алматинская,women,0-15,329639
Алматинская,women,59+,146424
Алматинская,women,16-58,563273
Алматинская,men,63+,71522
Костанайская,men,0-15,95645
Костанайская,men,16-62,274637
Костанайская,women,0-15,90687
Костанайская,women,59+,101469
Костанайская,women,16-58,263852
Костанайская,men,63+,42259
Туркестанская,men,0-15,410683
Туркестанская,men,16-62,563016
Туркестанская,women,0-15,389034
Туркестанская,women,59+,99357
Туркестанская,women,16-58,505265
Туркестанская,men,63+,48682
Атырауская,men,0-15,117009
Атырауская,men,16-62,185671
Атырауская,women,0-15,110562
Атырауская,women,59+,38179
Атырауская,women,16-58,178357
Атырауская,men,63+,15502
Кызылординская,men,0-15,145934
Кызылординская,men,16-62,235547
Кызылординская,women,0-15,137123
Кызылординская,women,59+,46138
Кызылординская,women,16-58,217055
Кызылординская,men,63+,21734
Восточно-Казахстанская,men,0-15,171623
Восточно-Казахстанская,men,16-62,414338
Восточно-Казахстанская,women,0-15,161786
Восточно-Казахстанская,women,59+,159959
Восточно-Казахстанская,women,16-58,393984
Восточно-Казахстанская,men,63+,67907
Акмолинская,men,0-15,96079
Акмолинская,men,16-62,229926
Акмолинская,women,0-15,90848
Акмолинская,women,59+,76006
Акмолинская,women,16-58,212232
Акмолинская,men,63+,31644
Актюбинская,men,0-15,138610
Актюбинская,men,16-62,262098
Актюбинская,women,0-15,129864
Актюбинская,women,59+,64123
Актюбинская,women,16-58,260086
Актюбинская,men,63+,26870
Западно-Казахстанская,men,0-15,94640
Западно-Казахстанская,men,16-62,200026
Западно-Казахстанская,women,0-15,87946
Западно-Казахстанская,women,59+,60078
Западно-Казахстанская,women,16-58,190000
Западно-Казахстанская,men,63+,24154
Мангистауская,men,0-15,133912
Мангистауская,men,16-62,198664
Мангистауская,women,0-15,125265
Мангистауская,women,59+,34851
Мангистауская,women,16-58,190453
Мангистауская,men,63+,15651
город Нур-Султан,men,0-15,180670
город Нур-Султан,men,16-62,338634
город Нур-Султан,women,0-15,171255
город Нур-Султан,women,59+,64143
город Нур-Султан,women,16-58,355620
город Нур-Султан,men,63+,25834
Жамбылская,men,0-15,205582
Жамбылская,men,16-62,317301
Жамбылская,women,0-15,194302
Жамбылская,women,59+,77167
Жамбылская,women,16-58,301458
Жамбылская,men,63+,34289
Павлодарская,men,0-15,93650
Павлодарская,men,16-62,229867
Павлодарская,women,0-15,88366
Павлодарская,women,59+,82579
Павлодарская,women,16-58,224901
Павлодарская,men,63+,32806
город Алматы,men,0-15,240226
город Алматы,men,16-62,573619
город Алматы,women,0-15,223279
город Алматы,women,59+,161473
город Алматы,women,16-58,652395
город Алматы,men,63+,65830
Республика Казахстан,men,0-15,2901294
Республика Казахстан,men,16-62,5497037
Республика Казахстан,women,0-15,2735467
Республика Казахстан,women,59+,1484559
Республика Казахстан,women,16-58,5377619
Республика Казахстан,men,63+,635803
Карагандинская,men,0-15,177781
Карагандинская,men,16-62,418075
Карагандинская,women,0-15,169225
Карагандинская,women,59+,145923
Карагандинская,women,16-58,407745
Карагандинская,men,63+,58133
Северо-Казахстанская,men,0-15,62669
Северо-Казахстанская,men,16-62,170465
Северо-Казахстанская,women,0-15,58877
Северо-Казахстанская,women,59+,71333
Северо-Казахстанская,women,16-58,155996
Северо-Казахстанская,men,63+,29415
город Шымкент,men,0-15,188411
город Шымкент,men,16-62,288457
город Шымкент,women,0-15,177409
город Шымкент,women,59+,55357
город Шымкент,women,16-58,304947
город Шымкент,men,63+,23571
